"","ideophone","meaning","language","category","meaning_NL","meaning_NL_opposite","study","filename","F_redup","F_monosyllabic","F_redupmod","F_closedsyllable","F_vowelquality","F_voice","F_finallength","F_intonation","M_sound","M_distribution","M_irregular","M_weight","M_punctual","M_long","M_abrupt","F_notes_MD","M_notes_MD","F_notes_SP","M_notes_SP","C_modality","C_iterative","C_irregular","C_closure","C_punctual","C_long","C_weight_voice","C_weight_vowel","C_weight_tone","C_aspect","C_length","C_weight","C_magnitude","C_cumulative","C_any1","C_atleast2","C_ternary","score","logodds","score_z","C_simple"
"174","grah<U+0252><U+0252>c","of rough, rugged, e.g. of beard stubble  (plural infix)","Semai","Texture","ruig, oneven",NA,"Language","Semai_19_Texture_org",0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.524400512708041,0.70980507924032,0
"175","bl<U+0294>oo::k","dark coloured, purple-brown. lengthening of last/main vowel.","Semai","ColorVisual","bruin-paars",NA,"Language","Semai_2_ColorVisual_org",0,1,0,1,2,1,0,1,0,0,0,2,0,0,0,"F_finalvowel: can final vowel be followed by consonant?",NA,"F_monosyllabic: telt dit als 1 syllabe? (aparte medeklinkercombinatie)",NA,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0.8,0.841621233572914,1.2793492745589,1
"176","grigelrigel","of surface with ridges (small spacing)  (plural infix, prolongation derivation)","Semai","Texture","geribbeld",NA,"Language","Semai_20_Texture_org",1,0,1,1,0,2,0,1,0,1,0,1,0,0,0,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0.55,0.125661346855074,-0.14451121373755,1
"177","snak<U+0268><U+0268>r","of surface with small small hairs (plural infix)","Semai","Texture","harig oppervlak",NA,"Language","Semai_21_Texture_org",0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,-0.524400512708041,-1.568371702034,0
"178","bucbuc","of bubble in thick liquid (e.g. mud)","Semai","Sound","geluid van luchtbellen in modder",NA,"Language","Semai_22_Sound_org",1,0,0,1,2,1,0,1,1,1,0,1,0,0,1,NA,NA,NA,NA,1,1,0,1,0,0,0,0,0,1,1,0,0,3,1,1,3,0.8,0.841621233572914,1.2793492745589,2
"179","bukbukbuk","of bubble in water, repetition of sound","Semai","Sound","geluid van luchtbellen aan het wateroppervlak",NA,"Language","Semai_23_Sound_org",1,0,0,1,2,1,0,1,1,1,0,1,0,0,1,NA,NA,NA,NA,1,1,0,1,0,0,0,0,0,1,1,0,0,3,1,1,3,0.65,0.385320466407568,0.42503298158103,2
"180","ca~a~wca~a~w","of splashing water, repetition of sound","Semai","Sound","geluid van spetterend water",NA,"Language","Semai_24_Sound_org",1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,NA,NA,"f_closedsyll: twijfel, tel je w mee? (in audiofile klinkt het wel gesloten, vandaar (1)).",NA,1,1,0,0,0,0,0,0,0,1,0,0,0,2,1,1,2,0.45,-0.125661346855074,-0.714055409056131,2
"181","ho~o~(o~o~)s","of heavy breathing through nose (typically of animals, e.g. buffalo)","Semai","Sound","geluid van zwaar door de neus ademen",NA,"Language","Semai_25_Sound_org",0,1,0,1,2,0,0,1,1,1,0,2,0,1,0,"F_finalvowel: followed by coda",NA,NA,NA,1,0,0,0,0,0,0,1,0,0,0,1,1,2,1,1,2,0.6,0.2533471031358,0.14026088392174,2
"182","korrrr","of pouring water, (e.g. with a kettle)","Semai","Sound","geluid van water gieten",NA,"Language","Semai_26_Sound_org",0,1,0,1,2,0,1,1,1,0,0,1,1,1,0,"F_finalvowel: final consonant lengthened here","M_punctual: informed by English translation",NA,NA,1,0,0,0,1,1,0,0,0,1,1,0,0,3,1,1,3,0.5,0,-0.429283311396841,2
"183","re<U+014B><U+014B><U+014B>","of thin glass breaking on a hard ground, (e.g. a stone/cement floor)","Semai","Sound","geluid van brekend dun glas",NA,"Language","Semai_27_Sound_org",0,1,0,1,0,2,1,2,1,0,0,0,1,0,1,"F_finalvowel: consonant!",NA,NA,NA,1,0,0,1,1,0,0,1,1,1,1,2,1,4,1,1,3,0.9,1.2815515655446,1.84889346987748,3
"184","pl<U+025B>~spl<U+0252>~s","of peoples' breathing when sleeping, with lips open a little, hearing this sound here and there (distributive)","Semai","Sound","geluid van slapend ademende mensen",NA,"Language","Semai_28_Sound_org",1,0,1,1,0,0,0,1,1,1,0,1,0,1,0,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,1,0,0,0,2,1,1,2,0.25,-0.674489750196082,-1.85314379969329,2
"185","pl<U+0252>~s","of someones breathing when sleeping, with lips open a little","Semai","Sound","geluid van een slapend mens",NA,"Language","Semai_29_Sound_org",0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.1,-1.2815515655446,-2.70746009267116,1
"186","chuurch<U+025B><U+025B>r","darker red, purple-red. distribution in space (distributive derivation).","Semai","ColorVisual","donkerrood-paars tafereel",NA,"Language","Semai_3_ColorVisual_org",1,0,1,1,1,0,0,1,0,1,0,2,0,0,0,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0.6,0.2533471031358,0.14026088392174,1
"187","t<U+0268><U+0268>kt<U+0268><U+0268>kt<U+0268><U+0268>kt<U+0268><U+0268>k","of dull or muffled sound (e.g hitting hand against cement floor; something heavy landing of the floor), repetition of sound","Semai","Sound","dof, gedempt geluid",NA,"Language","Semai_30_Sound_org",1,0,0,1,1,0,0,1,1,0,0,2,0,0,1,NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,0,1,0,0,2,1,1,2,0.5,0,-0.429283311396841,1
"188","ba<U+014B><U+0294>is","of a larger bulging shape, e.g. a fat/swollen stomach","Semai","Shape","grote bolstaande gezwollen vorm",NA,"Language","Semai_31_Shape_org",0,0,0,1,0,1,0,1,0,0,0,2,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,-0.385320466407568,-1.28359960437471,0
"189","cih<U+025B>~<U+0294>","bent, a little askew/slantwise","Semai","Shape","krom",NA,"Language","Semai_32_Shape_org",0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0.125661346855074,-0.14451121373755,0
"190","goow","of a smaller bulging shape, e.g. typically of large/muscular calfs bulging","Semai","Shape","vorm van een  gespierede enkel",NA,"Language","Semai_33_Shape_org",0,1,0,1,2,2,0,1,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,-1.03643338949379,-2.42268799501187,0
"191","<U+025F>lpu<U+014B>","of a cone-like protruding shape (from head), e.g. hair bun","Semai","Shape","kegelachtig uitpuilen",NA,"Language","Semai_34_Shape_org",0,1,0,1,2,2,0,1,0,0,0,1,0,0,0,NA,NA,"F_monosyllabic: 1 syllabe?",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,-0.524400512708041,-1.568371702034,0
"192","<U+025F>rp<U+0252><U+0252>s","of a straggling shape/figure, things going in all directions, e.g. hair standing in all directions","Semai","Shape","alle kanten opgaand",NA,"Language","Semai_35_Shape_org",0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,"F_vowelquality: is <U+0252> neutral or dark?",NA,"F_monosyllabic: 1 syllabe?",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.524400512708041,0.70980507924032,0
"193","ra<U+014B>j<U+0252>~<U+0252>~t","crocked, not straight/proper of a pattern, sometimes with holes (could also be considered a surface characteristic)","Semai","Shape","scheef",NA,"Language","Semai_36_Shape_org",0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0.125661346855074,-0.14451121373755,0
"194","r<U+014B><U+0294><U+0252><U+0252><U+014B>","of round-like hole, typically of open mouth","Semai","Shape","rond gat",NA,"Language","Semai_37_Shape_org",0,1,0,1,1,2,0,1,0,0,0,1,0,0,0,"F_monosyllable: need to check phonotactics",NA,"F_monosyllabic: 1 syllabe?",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,-0.429283311396841,0
"195","sla<U+025F><U+0252><U+0252>r","of a straight shape/posture, e.g. a straight body position, straight hair","Semai","Shape","kaarsrecht staand",NA,"Language","Semai_38_Shape_org",0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.2533471031358,0.14026088392174,0
