"","ideophone","meaning","language","category","meaning_NL","meaning_NL_opposite","study","filename","C_cumulative","F_redup","F_monosyllabic","F_redupmod","F_closedsyllable","F_vowelquality","F_voice","F_finallength","F_intonation","M_sound","M_distribution","M_irregular","M_weight","M_punctual","M_long","M_abrupt","F_notes_MD","M_notes_MD","F_notes_SP","M_notes_SP","C_modality","C_iterative","C_irregular","C_closure","C_punctual","C_long","C_weight_voice","C_weight_vowel","C_weight_tone","C_aspect","C_length","C_weight","C_magnitude","C_any1","C_atleast2","C_ternary","score","logodds","score_z","rating","rating_z"
"38","gblóó","falling flat","Ewe","Sound","geluid van iets dat plat neervalt",NA,"Language","Ewe_5_Sound",2,0,1,0,0,2,2,1,1,1,0,0,1,1,0,1,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,2,0.6,0.2533471031358,0.14026088392174,3.21111111111111,0.339343793493723
"39","gbóvúú","falling in an uneven way (e.g. knees first)","Ewe","Sound","geluid van iets in elkaar zakkends",NA,"Language","Ewe_6_Sound",1,0,0,0,0,2,2,0,1,1,0,1,1,1,0,0,NA,NA,"f_finalvowel: wel (1) volgens transcriptie, maar niet goed te horen in audiofile",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.7,0.524400512708041,0.70980507924032,4.6,2.03857962072318
"40","hoo","sound of crying out (often repeated)","Ewe","Sound","geluid van een kreet, schreeuw",NA,"Language","Ewe_7_Sound",2,0,1,0,0,2,0,1,1,1,0,0,1,1,0,0,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,2,0.6,0.2533471031358,0.14026088392174,2.78,-0.188099007278298
"41","butubutu","sound of mumbling voice","Ewe","Sound","gemompel",NA,"Language","Ewe_8_Sound",2,1,0,0,0,2,1,0,1,1,1,0,1,0,0,0,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0.65,0.385320466407568,0.42503298158103,3.63,0.851833318986127
"42","bɔlɔbɔlɔ","soft+malleable (e.g. the belly of a fat person, a cushion)","Ewe","Texture","zacht en plooibaar",NA,"Language","Ewe_9_Texture",0,1,0,0,0,2,2,0,1,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0.385320466407568,0.42503298158103,3.14444444444444,0.257780473786709
"43","pon","plop, like opening a beer bottle","Japanese","Sound","ploppend geluid",NA,"Language","Japanese_10_Sound",3,0,1,0,1,2,1,0,2,1,0,0,1,1,0,1,NA,NA,NA,NA,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,3,0.95,1.64485362695147,2.13366556753677,3.795,1.05370253526099
"44","zaa zaa","sound of rain, shower","Japanese","Sound","kletterend geluid",NA,"Language","Japanese_11_Sound",2,1,0,0,0,1,2,0,1,1,1,0,1,0,0,0,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0.4,-0.2533471031358,-0.998827506715421,1.87,-1.30143832127904
"45","fuwafuwa","fluffy","Japanese","Texture","donzig, pluizig",NA,"Language","Japanese_12_Texture",1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,"M_weight: dingen als donzig heb ik als (2) gedaan, ook al is het ook wel licht meestal, maar focus ligt hier voor mij op het zachte",0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0.85,1.03643338949379,1.56412137221819,3.41111111111111,0.584033752614765
"46","pasapasa","dry, brittle","Japanese","Texture","broos",NA,"Language","Japanese_13_Texture",1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0.75,0.674489750196082,0.994577176899611,2.41666666666667,-0.632619099681523
"47","nebaneba","sticky","Japanese","Texture","kleverig",NA,"Language","Japanese_14_Texture",0,1,0,0,0,0,2,0,1,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,-0.429283311396841,2.44736842105263,-0.595057044553294
